file 	#reads_raw	#reads_fp1	#reads_clmp	#reads_fp2	#reads_fqscrn	#reads_repr	%_readLoss_fp1	%_readLoss_clmp	%_readLoss_fp2	%_readLoss_fqscrn	%_readLoss_repr	%_total_readLoss
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus//raw_fq_capture/Hmi-ABas_001-Ex1-01A.1.fq.gz	18293154	18076878	1788672	1745776	1475878	1424478	1.18228	90.1052	2.3982	15.4601	3.48267	92.2131
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus//raw_fq_capture/Hmi-ABas_001-Ex1-01A.2.fq.gz	18293154	18076878	1788672	1745776	1476532	1424478	1.18228	90.1052	2.3982	15.4226	3.52542	92.2131
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus//raw_fq_capture/Hmi-ABas_002-Ex1-02A.1.fq.gz	31652170	31175209	3059814	2984926	2454569	2344766	1.50688	90.1851	2.44747	17.7678	4.47341	92.5921
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus//raw_fq_capture/Hmi-ABas_002-Ex1-02A.2.fq.gz	31652170	31175209	3059814	2984926	2450796	2344766	1.50688	90.1851	2.44747	17.8942	4.32635	92.5921
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus//raw_fq_capture/Hmi-ABas_003-Ex1-03A.1.fq.gz	7322556	7222826	753141	735770	612043	589804	1.36196	89.5728	2.30647	16.816	3.63357	91.9454
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus//raw_fq_capture/Hmi-ABas_003-Ex1-03A.2.fq.gz	7322556	7222826	753141	735770	610202	589804	1.36196	89.5728	2.30647	17.0662	3.34283	91.9454
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus//raw_fq_capture/Hmi-ABas_004-Ex1-04A.1.fq.gz	31230382	30862059	2757791	2684967	2167397	2079232	1.17937	91.0641	2.64066	19.2766	4.06778	93.3423
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus//raw_fq_capture/Hmi-ABas_004-Ex1-04A.2.fq.gz	31230382	30862059	2757791	2684967	2169230	2079232	1.17937	91.0641	2.64066	19.2083	4.14885	93.3423
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus//raw_fq_capture/Hmi-ABas_005-Ex1-05A.1.fq.gz	40326832	39883013	3425705	3342067	2732898	2636476	1.10056	91.4106	2.44148	18.2273	3.5282	93.4622
/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/halichoeres_miniatus//raw_fq_capture/Hmi-ABas_005-Ex1-05A.2.fq.gz	40326832	39883013	3425705	3342067	2723854	2636476	1.10056	91.4106	2.44148	18.4979	3.20788	93.4622
